mean_rnd_score,true_destination
0.144780857616,ES
1.0,NDF
1.0,NDF
1.0,NDF
0.257417982294,FR
1.0,NDF
1.0,NDF
0.624620456036,US
1.0,NDF
0.630929753571,US
0.0429920463042,NL
1.0,NDF
1.0,NDF
1.0,NDF
0.630929753571,US
1.0,NDF
0.37,other
0.299099169263,FR
1.0,NDF
1.0,NDF
1.0,NDF
0.630929753571,US
1.0,NDF
1.0,NDF
1.0,NDF
1.0,NDF
1.0,NDF
1.0,NDF
0.630929753571,US
1.0,NDF
0.39,other
0.630929753571,US
0.630929753571,US
1.0,NDF
1.0,NDF
0.148469998281,IT
1.0,NDF
0.264497685552,FR
0.630929753571,US
1.0,NDF
0.630929753571,US
0.624620456036,US
1.0,NDF
0.624620456036,US
0.630929753571,US
1.0,NDF
1.0,NDF
1.0,NDF
1.0,NDF
0.630929753571,US
1.0,NDF
1.0,NDF
0.630929753571,US
0.630929753571,US
0.630929753571,US
1.0,NDF
1.0,NDF
0.630929753571,US
0.624620456036,US
1.0,NDF
0.624620456036,US
1.0,NDF
0.630929753571,US
1.0,NDF
1.0,NDF
0.4,other
1.0,NDF
0.624620456036,US
0.630929753571,US
1.0,NDF
1.0,NDF
1.0,NDF
1.0,NDF
0.630929753571,US
1.0,NDF
0.405,other
1.0,NDF
1.0,NDF
1.0,NDF
0.630929753571,US
0.178908235789,IT
0.624620456036,US
1.0,NDF
1.0,NDF
0.624620456036,US
1.0,NDF
0.624620456036,US
1.0,NDF
0.630929753571,US
1.0,NDF
1.0,NDF
0.407618595071,other
1.0,NDF
0.630929753571,US
0.630929753571,US
0.118760876724,GB
0.0507291024489,DE
0.153872361008,IT
1.0,NDF
0.624620456036,US
1.0,NDF
1.0,NDF
0.630929753571,US
0.624620456036,US
1.0,NDF
0.630929753571,US
1.0,NDF
1.0,NDF
1.0,NDF
1.0,NDF
0.630929753571,US
1.0,NDF
0.630929753571,US
1.0,NDF
1.0,NDF
1.0,NDF
1.0,NDF
0.630929753571,US
0.630929753571,US
0.630929753571,US
0.630929753571,US
1.0,NDF
0.99,NDF
0.634620456036,US
0.630929753571,US
0.99,NDF
0.421309297536,other
0.634620456036,US
0.634620456036,US
1.0,NDF
0.630929753571,US
0.0507291024489,DE
1.0,NDF
0.630929753571,US
0.135912329544,ES
1.0,NDF
1.0,NDF
1.0,NDF
0.630929753571,US
1.0,NDF
1.0,NDF
1.0,NDF
1.0,NDF
1.0,NDF
0.630929753571,US
0.630929753571,US
0.138979992102,GB
1.0,NDF
1.0,NDF
0.630929753571,US
1.0,NDF
1.0,NDF
0.624620456036,US
0.630929753571,US
1.0,NDF
1.0,NDF
1.0,NDF
1.0,NDF
1.0,NDF
1.0,NDF
1.0,NDF
1.0,NDF
1.0,NDF
1.0,NDF
0.630929753571,US
1.0,NDF
1.0,NDF
0.154454104392,GB
1.0,NDF
1.0,NDF
1.0,NDF
1.0,NDF
1.0,NDF
0.630929753571,US
0.624620456036,US
0.624620456036,US
0.630929753571,US
1.0,NDF
1.0,NDF
1.0,NDF
0.42,other
0.44,other
0.119123504729,CA
1.0,NDF
0.630929753571,US
1.0,NDF
0.99,NDF
0.630929753571,US
0.630929753571,US
0.255190919972,FR
0.630929753571,US
1.0,NDF
0.630929753571,US
0.415,other
0.630929753571,US
0.630929753571,US
0.630929753571,US
1.0,NDF
1.0,NDF
0.630929753571,US
1.0,NDF
1.0,NDF
1.0,NDF
1.0,NDF
1.0,NDF
1.0,NDF
1.0,NDF
1.0,NDF
1.0,NDF
1.0,NDF
0.415,other
1.0,NDF
0.0679561647718,CA
1.0,NDF
1.0,NDF
1.0,NDF
0.385,other
1.0,NDF
1.0,NDF
1.0,NDF
1.0,NDF
1.0,NDF
0.630929753571,US
1.0,NDF
1.0,NDF
1.0,NDF
0.624620456036,US
0.630929753571,US
0.630929753571,US
1.0,NDF
0.132920276488,ES
1.0,NDF
0.274497685552,FR
1.0,NDF
1.0,NDF
1.0,NDF
0.630929753571,US
0.630929753571,US
1.0,NDF
1.0,NDF
0.630929753571,US
1.0,NDF
